provider_state,billing_class,negotiated_rate
PA,institutional,108347.75
PA,institutional,6064.0
PA,institutional,11849.0
PA,institutional,18162.65
PA,institutional,21645.43
PA,institutional,24399.4
PA,institutional,38071.66
PA,institutional,46809.0
PA,institutional,46809.0
PA,institutional,95343.44
PA,institutional,123287.36
PA,institutional,5515.47
PA,institutional,6573.09
PA,institutional,7409.39
PA,institutional,11561.26
PA,institutional,28953.04
PA,institutional,37438.79
PA,institutional,15782.0
PA,institutional,15782.0
PA,institutional,21094.0
PA,institutional,27589.0
PA,institutional,27589.0
PA,institutional,41927.0
PA,institutional,41927.0
PA,institutional,106756.0
PA,institutional,106756.0
PA,institutional,123980.0
PA,institutional,123980.0
PA,institutional,10962.53
PA,institutional,12750.0
PA,institutional,13064.65
PA,institutional,14726.88
PA,institutional,22979.13
PA,institutional,57546.97
PA,institutional,74413.23
TX,institutional,0.0
TX,institutional,1302.0
TX,institutional,4552.81
TX,institutional,5624.17
TX,institutional,6822.79
TX,institutional,7289.0
TX,institutional,47062.44
TX,institutional,59829.32
TX,institutional,0.0
TX,institutional,0.0
TX,institutional,0.0
TX,institutional,10.0
PA,institutional,1047.0
PA,institutional,3652.0
PA,institutional,12783.0
PA,institutional,22587.0
PA,institutional,29540.0
PA,institutional,44890.0
PA,institutional,132744.0
PA,institutional,7192.0
PA,institutional,7192.0
PA,institutional,7192.0
PA,institutional,7192.0
PA,institutional,53436.0
NV,institutional,50359.0
NV,institutional,72210.0
NV,institutional,9611.0
NV,institutional,50359.0
NV,institutional,72210.0
OK,institutional,10172.0
CA,institutional,32556.25
CA,institutional,44182.88
TX,institutional,0.0
TX,institutional,1054.0
TX,institutional,5985.31
TX,institutional,8621.26
TX,institutional,10458.62
TX,institutional,42742.1
TX,institutional,72141.76
IA,institutional,361.35
IA,institutional,838.77
IA,institutional,6615.55
MO,institutional,6548.0
MO,institutional,42766.0
PA,institutional,2660.59
PA,institutional,6204.25
PA,institutional,7762.25
PA,institutional,50390.1
PA,institutional,5700.0
PA,institutional,5928.65
PA,institutional,7065.5
PA,institutional,7964.45
PA,institutional,12427.35
PA,institutional,31122.0
PA,institutional,40243.45
PA,institutional,3822.61
PA,institutional,4555.62
PA,institutional,5135.23
PA,institutional,8012.77
PA,institutional,15069.0
PA,institutional,20066.51
PA,institutional,25947.74
PA,institutional,5887.2
